Solution,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
0,0.051378,1,0.227781,0.091496,0.036352,0.082999,0.046211,0.125599,0.054754,0.109611,0.042247,0.872789,1.316339,4.462,0.779025,0.116292,0.148197,0.046889,0.391976
1,0.084683,1,0.184001,0.079293,0.043936,0.077673,0.003378,0.122144,0.062139,0.034169,0.011629,1.585792,2.56761,4.429405,0.279416,0.142496,0.123751,0.092677,0.347801
2,0.026636,1,0.221423,0.11069,0.03384,0.052943,0.071625,0.122232,0.093125,0.050432,0.02194,2.718247,0.642756,2.730732,1.132699,0.150564,0.144538,0.035854,0.37215
3,0.063009,1,0.224054,0.11891,0.009438,0.110255,0.065825,0.106493,0.096823,0.043354,0,0.377817,2.975308,3.167146,0.535755,0.087819,0.114605,0.066086,0.392162
4,0.059007,1,0.168624,0.057923,0.015365,0.055361,0.063674,0.052331,0.096178,0.044509,0.036279,3.811323,2.210016,4.472084,2.435348,0.134045,0.113275,0.030098,0.335119
5,0.111678,1,0.17241,0.095733,0.037575,0.070729,0.062603,0.076784,0.057622,0.092708,0.034099,3.429314,1.690334,3.998764,2.031304,0.158316,0.139094,0.024066,0.382216
6,0.069655,1,0.165849,0.110099,0.048744,0.072678,0.006552,0.097989,0.055379,0.035204,0.018731,2.264525,2.250719,4.114514,1.912605,0.133202,0.109472,0.089921,0.357103
7,0.050971,1,0.180143,0.09345,0.005096,0.086952,0.060825,0.078721,0.09478,0.050083,0.028436,3.773775,1.497222,2.202674,2.533424,0.093685,0.084864,0.027948,0.370414
8,0.044506,1,0.199538,0.086036,0.042091,0.108024,0.010412,0.092132,0.068519,0.110246,0.035397,1.561491,0.811851,4.257482,0.749952,0.159983,0.104837,0.074741,0.336026
9,0.071175,1,0.167584,0.061321,0.034404,0.032946,0.063118,0.107801,0.059341,0.038573,0.039623,2.442678,2.119627,0.878032,2.499192,0.112334,0.147677,0.070238,0.367756
10,0.069751,1,0.20134,0.129213,0.030027,0.112169,0.066967,0.109801,0.075664,0.080293,0.03299,3.901511,0.906371,3.247173,2.319249,0.155281,0.103018,0.031203,0.366457
11,0.050061,1,0.242503,0.138414,0.027163,0.052893,0.073493,0.053694,0.055177,0.058994,0.043818,1.837325,0.776757,1.68561,1.319417,0.090296,0.123993,0.06248,0.390767
12,0.107182,1,0.192522,0.090201,0.041078,0.083361,0.074452,0.11853,0.122029,0.096262,0.04689,2.145158,1.333143,2.639086,2.146013,0.107994,0.098846,0.044566,0.339002
